,TiO,Ti3O5,Ti2O3,Ti2O,Ti3O,TiO2,Ti2O3,Ti6O,Ti3O5,Ti3O5
TiO,0.0,0.3767493640213031,0.4894500735313869,0.6889236698948897,0.9559914268542942,0.5654298638468855,0.26551358402569303,1.1039071768786597,0.23568642644444315,0.4617458827769809
Ti3O5,0.3767493640213031,0.0,0.3983162004632428,0.46802865064865173,0.7056102817151011,0.4809460011754352,0.41416784868611245,0.8824532347385992,0.2383891781704044,0.3315478573061652
Ti2O3,0.4894500735313869,0.3983162004632428,0.0,0.7760822626073516,0.9933955020584184,0.7407798134025025,0.4079661621347572,1.2220211780825814,0.4140259140163489,0.536604646374613
Ti2O,0.6889236698948897,0.46802865064865173,0.7760822626073516,0.0,0.5619209603367485,0.49655277994562264,0.7612050120868865,0.9544979694963871,0.4970692014982312,0.4225541075058201
Ti3O,0.9559914268542942,0.7056102817151011,0.9933955020584184,0.5619209603367485,0.0,0.652522256284022,0.811684107507376,0.5991821997445816,0.7772147048345968,0.583895528796786
TiO2,0.5654298638468855,0.4809460011754352,0.7407798134025025,0.49655277994562264,0.652522256284022,0.0,0.5725326132426836,0.8706777010312576,0.5649674559766384,0.2342449882968718
Ti2O3,0.26551358402569303,0.41416784868611245,0.4079661621347572,0.7612050120868865,0.811684107507376,0.5725326132426836,0.0,1.153198399136878,0.2641358105886553,0.42410158530778563
Ti6O,1.1039071768786597,0.8824532347385992,1.2220211780825814,0.9544979694963871,0.5991821997445816,0.8706777010312576,1.153198399136878,0.0,1.0323396936741656,0.7840692000350984
Ti3O5,0.23568642644444315,0.2383891781704044,0.4140259140163489,0.4970692014982312,0.7772147048345968,0.5649674559766384,0.2641358105886553,1.0323396936741656,0.0,0.36813306942188273
Ti3O5,0.4617458827769809,0.3315478573061652,0.536604646374613,0.4225541075058201,0.583895528796786,0.2342449882968718,0.42410158530778563,0.7840692000350984,0.36813306942188273,0.0
