,Zr3O,Zr2O,ZrO2,Zr3O,ZrO2,ZrO2,ZrO2,ZrO2,Zr3O,ZrO2
Zr3O,0.0,0.656833838749793,1.2993400888837883,0.1475523046787428,1.4286724957637373,1.3174520901924138,1.178017901945977,1.291548843520495,0.14275174426497017,1.4161434341158596
Zr2O,0.656833838749793,0.0,1.4273676995886175,0.6821633853047642,1.570690163386792,1.4594695800448916,1.3200429322418952,1.433573873816413,0.6765025425421367,1.5147408731658825
ZrO2,1.2993400888837883,1.4273676995886175,0.0,1.2721963606792306,0.575066434835187,0.3938924206899892,0.2055091852624149,0.08292775376279149,1.2706454130598672,0.39808957704613723
Zr3O,0.1475523046787428,0.6821633853047642,1.2721963606792306,0.0,1.3936940640869606,1.282473658515637,1.1458079442331943,1.2593490425292435,0.13496872435142748,1.388999705911302
ZrO2,1.4286724957637373,1.570690163386792,0.575066434835187,1.3936940640869606,0.0,0.31858288485134834,0.5880430551797637,0.555658509277662,1.41076321923022,0.6847179167013362
ZrO2,1.3174520901924138,1.4594695800448916,0.3938924206899892,1.282473658515637,0.31858288485134834,0.0,0.4212233820212794,0.38099915479090285,1.2995428136588965,0.47352379601973915
ZrO2,1.178017901945977,1.3200429322418952,0.2055091852624149,1.1458079442331943,0.5880430551797637,0.4212233820212794,0.0,0.19787179790646192,1.144256996613831,0.3967783637401152
ZrO2,1.291548843520495,1.433573873816413,0.08292775376279149,1.2593490425292435,0.555658509277662,0.38099915479090285,0.19787179790646192,0.0,1.2577980949098801,0.37079944427589906
Zr3O,0.14275174426497017,0.6765025425421367,1.2706454130598672,0.13496872435142748,1.41076321923022,1.2995428136588965,1.144256996613831,1.2577980949098801,0.0,1.3874487582919386
ZrO2,1.4161434341158596,1.5147408731658825,0.39808957704613723,1.388999705911302,0.6847179167013362,0.47352379601973915,0.3967783637401152,0.37079944427589906,1.3874487582919386,0.0
